t,i
912170,-1
912902,14
913421,14
914093,-1
914795,-1
915435,-28
916107,-66
916778,-66
917419,-23
918029,1
918640,1
919128,4
919677,4
920227,-1
920929,-1
921569,-1
922241,-1
922943,-1
923675,1
924224,1
924774,-1
925476,-4
926178,-4
926879,-138
927520,-56
928100,-56
928833,-18
929596,-9
930236,-9
930999,-1
931610,-1
932281,-8
932983,2
933502,2
934082,-20
934814,-64
935485,-64
936126,-298
936828,-298
937469,-211
938201,-4
938873,-4
939575,0
940124,-1
940918,-1
941558,-10
942199,-5
942871,-5
943573,-7
944213,-7
944854,-14
945526,-165
946197,-165
946838,-164
947509,-26
948150,-26
948761,11
949371,11
950012,3
950561,3
951202,-6
951873,-7
952545,-7
953308,-3
953979,-7
954650,-7
955322,-94
956024,-10
956665,-10
957275,-30
957977,-12
958648,-12
959411,-7
960022,-7
960662,1
961212,-10
961914,-10
962524,-9
963134,-9
963775,-14
964447,-9
965179,-9
965911,-63
966552,-40
967224,-40
967895,-78
968536,4
969085,4
969696,-3
970367,-3
971038,1
971618,1
972198,-2
972930,5
973510,5
973999,-2
974639,-2
975372,-26
975952,-174
976654,-174
977325,-38
977996,-8
978668,-8
979309,-11
980041,-6
980774,-6
981475,0
982025,0
982574,-3
983306,-12
983947,-12
984588,-2
985229,-2
985870,-189
986541,-158
987213,-158
987915,-70
988555,1
989135,1
989746,-1
990387,-1
991058,-8
991790,-10
992431,-10
993072,3
993591,3
994140,7
994690,7
995300,-142
995971,-197
996612,-197
997284,-231
997955,12
998565,12
999206,-3
999847,-3
1000610,-1
1001251,-5
1001892,-5
1002563,-10
1003234,-2
1003845,-2
1004547,-2
1005188,-2
1005859,-9
1006439,-28
1007171,-28
1007873,-1
1008545,-7
1009185,-7
1009887,3
1010467,3
1011138,6
1011749,2
1012298,2
1012909,5
1013519,5
1014068,-3
1014770,-17
1015503,-17
1016174,-149
1016906,-96
1017639,-96
1018280,1
1018859,1
1019500,-2
1020111,-1
1020782,-1
1021423,-4
